"country","lifeQualityRank","lifeQualityIndex","safetyIndex","healthcareIndex","pollutionIndex","climateIndex"
"Denmark","1","192.5300","73.9100","80.1700","21.5200","81.8000"
"Switzerland","2","190.9200","78.4200","73.1000","21.8900","80.0500"
"Finland","3","186.4000","74.4700","75.9600","11.7900","59.2100"
"Australia","4","185.0300","58.3300","77.8100","23.2200","94.2000"
"Netherlands","5","184.1800","72.8500","78.6800","26.1100","87.5300"
"Austria","6","181.6800","75.5700","78.5600","21.6500","78.2200"
"Iceland","7","180.7400","76.3000","65.6100","16.2000","68.8100"
"New Zealand","8","178.2200","57.8100","73.8200","23.5200","95.4600"
"Germany","9","177.2500","64.8600","73.3500","29.2800","83.1300"
"Estonia","10","175.9900","76.4400","72.5200","19.0200","64.2800"
"Norway","11","174.5500","65.3800","74.5100","20.1400","71.3700"
"Oman","12","173.0800","","","",""
"Sweden","13","172.1800","52.5700","69.1500","19.0500","73.9700"
"Slovenia","14","169.8100","79.0500","65.1600","23.5300","77.5600"
"United States","15","169.7800","52.3000","69.2000","38.1700","76.6900"
"Spain","16","167.0500","67.6700","78.6900","40.3700","93.9800"
"Japan","17","163.2300","78.3300","80.2300","39.3400","84.7900"
"Portugal","18","162.4600","70.1700","71.8800","30.3800","97.7200"
"United Kingdom","19","161.2000","55.4600","74.8800","40.6200","87.7700"
"Lithuania","20","159.7700","66.1200","70.5100","27.9100","69.8600"
"Canada","21","158.8800","59.3600","71.7700","27.9700","52.6900"
"Qatar","22","156.9000","88.1000","73.0300","60.4100","36.0300"
"Croatia","23","156.7700","75.3300","63.7500","30.0700","89.8900"
"United Arab Emirates","24","155.4100","84.5500","67.9200","50.6600","45.2300"
"Czech Republic","25","154.7000","74.6000","75.1800","39.4600","77.1300"
"France","26","150.6800","52.6300","80.6800","43.6400","89.7800"
"Ireland","27","150.1600","54.3200","52.2700","34.2900","89.1300"
"Slovakia","28","149.9300","70.1900","60.2300","39.9900","78.1300"
"Belgium","29","149.7500","54.7100","74.8000","53.6600","86.0300"
"Saudi Arabia","30","148.9400","73.3200","60.4200","64.3400","45.9800"
"Latvia","31","148.6800","62.5700","62.1400","34.0700","74.7000"
"Israel","32","146.8900","69.5600","73.4000","57.4800","93.7900"
"Cyprus","33","146.8600","68.4300","52.5300","55.1100","92.8000"
"Singapore","34","142.2500","68.4700","70.9700","33.3000","57.4500"
"Taiwan","35","140.4700","84.7400","86.4200","63.0800","81.6000"
"Italy","36","138.9700","55.7600","66.9500","55.6500","91.6400"
"South Korea","37","136.2700","72.6700","82.2600","62.2500","68.3900"
"Belarus","38","133.5200","74.9800","60.0300","43.5800","64.3700"
"South Africa","39","132.2900","22.7100","64.1600","57.1200","95.2500"
"Romania","40","131.6900","72.1800","55.4600","58.7900","77.6900"
"Greece","41","131.5100","58.7000","56.6400","52.3300","94.1800"
"Puerto Rico","42","130.9600","","","",""
"Hungary","43","128.4000","64.7700","48.0500","48.6600","79.4800"
"Bulgaria","44","127.1400","61.4500","56.2000","65.4300","82.7600"
"Turkey","45","126.4000","60.5000","70.3600","66.2200","93.2600"
"Poland","46","125.2000","66.8700","51.9600","63.0900","76.0300"
"Uruguay","47","124.8000","46.9800","67.3600","45.8000","98.0400"
"Ecuador","48","123.0900","47.3400","69.5100","56.8600","94.5100"
"Bosnia And Herzegovina","49","123.0500","56.4300","53.2200","61.7200","80.4800"
"Mexico","50","120.6500","46.6900","72.1100","63.2900","86.2900"
"Malaysia","51","117.4200","41.4500","68.8700","62.8100","59.2100"
"Georgia","52","116.3700","79.5000","52.1600","70.6000","84.2000"
"Serbia","53","116.0800","62.2700","51.7400","61.2100","83.2300"
"Kuwait","54","115.1400","","","",""
"Argentina","55","114.2100","37.7400","69.1600","50.6100","98.2800"
"Jordan","56","114.0600","59.1700","65.4600","76.8100","89.0500"
"Panama","57","112.0100","53.8000","60.4300","59.0300","67.8400"
"India","59","105.8600","55.5800","66.2100","79.5600","64.7400"
"Brazil","60","105.2800","31.6900","56.8700","54.6700","94.1000"
"Ukraine","61","105.2600","51.1600","52.6900","65.1400","71.1400"
"Pakistan","62","105.0900","55.8200","60.6900","73.4800","71.9300"
"China","63","104.9600","68.8200","66.6200","79.8800","78.1700"
"Morocco","64","104.9400","51.0300","46.3200","70.1000","87.9600"
"Hong Kong","65","103.1900","79.0900","66.3500","67.6000","83.6400"
"Azerbaijan","66","102.6900","","","",""
"Chile","67","102.0200","50.4000","64.3800","79.7400","90.2100"
"Colombia","68","101.7000","45.0600","66.8000","62.4400","86.0400"
"Thailand","69","101.6400","59.9900","78.0400","75.2600","69.4500"
"Russia","70","101.5700","59.4000","58.0100","62.5800","39.5100"
"Lebanon","71","99.6400","55.9300","63.6500","88.9100","94.7400"
"Kazakhstan","72","98.1500","45.1900","60.9400","72.1000","39.7800"
"Indonesia","73","91.6300","53.9400","60.5100","66.9000","68.4800"
"Egypt","74","86.7800","53.3500","46.2900","84.6900","91.9800"
"Vietnam","75","86.4900","53.4800","58.0300","86.0500","71.2400"
"Peru","76","85.2800","34.3500","56.4500","83.3400","97.6900"
"Sri Lanka","77","80.3600","59.7700","72.4400","60.0300","59.1100"
"Philippines","78","79.1800","57.7800","67.5200","74.2400","61.1100"
"Iran","79","70.3200","51.0900","52.2300","76.6900","70.9900"
"Kenya","80","66.6000","38.2700","55.5800","76.5600","99.7900"
"Bangladesh","81","66.2900","36.1800","43.0800","85.8300","72.9100"
"Nigeria","82","54.9100","36.7300","50.0500","86.8900","60.7500"